Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Moving Time,Distance_KM,Distance_m,Max Heart Rate,Commute,Activity Gear,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
269292991,"13 Mar 2015, 16:56:24","03/13/2015 Bergen, Hordaland, Norway",Run,,1823,1823,4.83,4832.799805,,FALSE,Nike Free 5 Flyknit,3.400000095,,136.5,,18,92.59999847,35.29999924,-0.037245501
280405705,"5 Apr 2015, 10:10:51","04/05/2015 Harrow, England, United Kingdom",Run,,1191,1191,3.37,3371.699951,,FALSE,Nike Free 5 Flyknit,3.200000048,,15.03999996,,50.40000153,68,4.099999905,-0.148293003
385638466,"26 Apr 2015, 10:37:03",Lunch Run,Run,,1733,1722,5.01,5011,,FALSE,Nike Free 5 Flyknit,3.900000095,,13.27999973,,54.09999847,68.59999847,5.699999809,0.029934101
385638477,"9 May 2015, 10:17:48",Lunch Run,Run,,1065,1065,3.23,3236.899902,,FALSE,Nike Free 5 Flyknit,5.900000095,,15.11999989,,50.29999924,68,4,-0.222434998
385638486,"8 Jun 2015, 18:16:17",Evening Run,Run,,1288,1288,3.57,3571.5,,FALSE,Nike Free 5 Flyknit,3.200000048,,0,,58.40000153,65.90000153,1.899999976,-0.134397
385638516,"22 Jun 2015, 18:35:38",Evening Run,Run,,1419,1419,4.01,4010,,FALSE,Nike Free 5 Flyknit,3.299999952,,0,,58.29999924,66,2.5,-0.117206998
385638534,"5 Sep 2015, 18:03:57",Evening Run,Run,,1390,1390,4,4008.5,,FALSE,Nike Free 5 Flyknit,3.5,,15.11670017,,50.40000153,68.80000305,4,0.057378098
396345550,"20 Sep 2015, 10:20:23",Regent's Park Sunday Run,Run,,1811,1811,5.37,5373.299805,,FALSE,Nike Free 5 Flyknit,3.799999952,,12.56000042,,32,45.5,5.599999905,-0.0986358
406349290,"3 Oct 2015, 11:07:14",Lunch Run,Run,,2573,2541,7.19,7197,,FALSE,Nike Free 5 Flyknit,3.5,,10.96000004,,49.70000076,68.09999847,3.700000048,-0.129221007
406351318,"23 Sep 2015, 05:28:15",Morning Run,Run,,1067,1059,3.12,3121.100098,,FALSE,Nike Free 5 Flyknit,4.5,,0,,58.29999924,66.09999847,2,0.0801
406351367,"26 Sep 2015, 10:24:34",Lunch Run,Run,,1681,1681,5.02,5028.299805,,FALSE,Nike Free 5 Flyknit,3.700000048,,14.84000015,,50.09999847,67.5,3.900000095,-0.101425998
406351412,"28 Sep 2015, 05:37:08",Morning Run,Run,,772,772,2.51,2509.600098,,FALSE,Nike Free 5 Flyknit,3.799999952,,0,,58.29999924,66,1.899999976,0.019923501
407277793,"6 Oct 2015, 05:36:08",Morning Run,Run,,1746,1746,5.01,5009.200195,,FALSE,Nike Free 5 Flyknit,3.700000048,,0,,58.40000153,68,3.400000095,0.0519045
411842796,"10 Oct 2015, 10:59:00",Lunch Run,Run,,2766,2762,8.01,8012.100098,,FALSE,Nike Free 5 Flyknit,3.900000095,,48.36000061,,47,84.09999847,6.699999809,-0.077382997
411845361,"12 Oct 2015, 18:17:57",Evening Run,Run,,1849,1838,5.11,5115.600098,,FALSE,Nike Free 5 Flyknit,4.900000095,,16.62000084,,50.29999924,68.90000153,5.199999809,0.087966204
417522535,"16 Oct 2015, 05:27:58",Morning Run,Run,,1724,1724,5.01,5016.100098,,FALSE,Nike Free 5 Flyknit,4.300000191,,0,,58.40000153,66,1.899999976,0.0498395
417524284,"19 Oct 2015, 18:26:26",Evening Run,Run,,2121,2121,6.04,6044.600098,,FALSE,Nike Free 5 Flyknit,3.299999952,,27.36000061,,50.29999924,69,3.099999905,-0.072792202
417679208,"21 Oct 2015, 18:27:32",Evening Run,Run,,1668,1663,5.06,5064.100098,,FALSE,Nike Free 5 Flyknit,3.599999905,,10.30000019,,50.29999924,68.19999695,5,-0.055291198
418588013,"22 Oct 2015, 18:03:13",Evening Run,Run,,3458,2514,5.27,5273,,FALSE,Nike Free 5 Flyknit,4.699999809,,39.52000046,,20.79999924,59.40000153,11.80000019,0.318603992
420197940,"25 Oct 2015, 12:47:39",First 9K... in Hyde Park,Run,,3042,3027,9.1,9107.5,,FALSE,Nike Free 5 Flyknit,4,,22.05999947,,18.10000038,37.70000076,5.400000095,-0.152621001
421600246,"27 Oct 2015, 20:13:09",Evening Run,Run,,1774,1774,5.34,5345.399902,,FALSE,Nike Free 5 Flyknit,4.099999905,,15.15999985,,50.40000153,68.5,5.599999905,0.108505003
422941359,"29 Oct 2015, 18:30:43",Evening Run,Run,,2337,1943,6.01,6014.200195,,FALSE,Nike Free 5 Flyknit,5.300000191,,39.57429886,,20.70000076,59.5,12,0.231120005
428585246,"7 Nov 2015, 09:33:25",First 10K Race,Run,Queen Elizabeth Olympic Park #race,3253,3253,10.05,10049.2998,,FALSE,Nike Free 5 Flyknit,4.199999809,,0,,5.699999809,11.10000038,3.200000048,0.00398038
445682221,"6 Dec 2015, 11:05:45",Lunch Run,Run,,3714,3706,11,11007.7002,,FALSE,Nike Free 5 Flyknit,3.599999905,,25.47999954,,48.5,68,4.800000191,-0.083577901
477819295,"24 Jan 2016, 11:34:32",Lunch Run,Run,,2711,2693,8,8005.600098,,FALSE,Nike Free 5 Flyknit,3.400000095,,11.96000004,,48.70000076,68,4.199999809,-0.082442299
477824044,"2 Jan 2016, 12:16:42",Lunch Run,Run,,1688,1671,5,5006.200195,,FALSE,Nike Free 5 Flyknit,3.5,,14.60000038,,50,67.19999695,3.799999952,-0.121849
477824082,"14 Dec 2015, 18:28:45",Evening Run,Run,,1714,1714,5.12,5119.799805,,FALSE,Nike Free 5 Flyknit,3.700000048,,20.20000076,,50.40000153,69,5.599999905,-0.0156256
560716211,"18 Apr 2016, 18:44:34",Evening Run,Run,,2512,2512,7.14,7145.100098,,FALSE,Nike Free 5 Flyknit,3.900000095,,10.22000027,,50.20000076,69,5.599999905,-0.00419868
560716215,"23 Apr 2016, 09:45:35",Morning Run,Run,,3604,3539,10.05,10049.5,,FALSE,Nike Free 5 Flyknit,4,,62.56000137,,47.09999847,83.40000153,5.5,-0.074630603
560716233,"17 Apr 2016, 09:45:06",Morning Run,Run,,2069,2032,6.09,6092.200195,,FALSE,Nike Free 5 Flyknit,4.300000191,,0,,49.59999847,67.90000153,4.099999905,-0.251141012
560716236,"2 Apr 2016, 11:28:11",Lunch Run,Run,,2011,2011,6.04,6042.600098,,FALSE,Nike Free 5 Flyknit,4.099999905,,26.47999954,,50.29999924,69,4,-0.056267198
560716247,"30 Apr 2016, 07:43:56",Morning Run,Run,,5089,5089,15.09,15097.90039,,FALSE,Nike Free 5 Flyknit,4.099999905,,15.57999992,,48.09999847,68.09999847,4.099999905,-0.094052799
560716250,"26 Apr 2016, 19:31:06",Evening Run,Run,,2087,2087,6.03,6037,,FALSE,Nike Free 5 Flyknit,3.400000095,,18.04330063,,50.20000076,68.90000153,5.599999905,0.106013
560716789,"2 Feb 2016, 18:50:03",Evening Run,Run,,2164,2164,6.1,6099.399902,,FALSE,Nike Free 5 Flyknit,3.700000048,,28.44000053,,50.20000076,69,5.900000095,0.054103699
560716801,"30 Jan 2016, 11:43:42",Lunch Run,Run,,1683,1683,5.29,5291.799805,,FALSE,Nike Free 5 Flyknit,3.700000048,,15.89999962,,50.29999924,67.69999695,4.099999905,-0.00944858
560716807,"7 Feb 2016, 12:17:03",Lunch Run,Run,,3709,3671,10.88,10886.7998,,FALSE,Nike Free 5 Flyknit,7.699999809,,39.68000031,,3,63.59999847,13.5,-0.482235014
560716816,"12 Mar 2016, 11:18:57",Lunch Run,Run,,4862,4859,14.01,14013.59961,,FALSE,Nike Free 5 Flyknit,3.799999952,,26.52669907,,48.09999847,67.80000305,4.400000095,-0.094194204
570011444,"8 May 2016, 08:24:09",Run Hackney Half Marathon 2016,Run,#race,7338,7338,21.25,21250,,FALSE,Adidas Revenge Boost 2M,4.300000191,,33.86000061,,4.900000095,29.39999962,6.5,-0.000470588
570085116,"5 May 2016, 19:14:17",Evening Run,Run,,2047,2047,5.76,5762.799805,,FALSE,Adidas Revenge Boost 2M,5.199999809,,0,,55.20000076,66,3.299999952,-0.117997997
601220662,"10 Nov 2015, 06:35:41",Morning Run,Run,,1697,1697,5.31,5311.100098,,FALSE,Adidas Revenge Boost 2M,5.199999809,,25.28000069,,50.29999924,69,4,-0.073431097
601220675,"16 Nov 2015, 19:38:48",Evening Run,Run,,1746,1746,5.2,5204.799805,,FALSE,Adidas Revenge Boost 2M,5.199999809,,11.02000046,,50.29999924,68.5,5.699999809,0.0134491
601220682,"7 Jun 2016, 05:24:54",Morning Run,Run,,1659,1659,5.26,5265.600098,,FALSE,Adidas Revenge Boost 2M,3.799999952,,0,,58.09999847,68.5,4.099999905,-0.060771801
640330369,"14 Jul 2016, 05:44:17",Morning SuNNy Run,Run,,1361,1320,4.09,4092.100098,,FALSE,Adidas Revenge Boost 2M,4.400000095,,15.59589958,,50.29999924,68,4.699999809,-0.202830002
693525731,"3 Nov 2015, 06:41:56",Morning Run,Run,,1270,1270,4,4008.699951,,FALSE,Adidas Revenge Boost 2M,3.900000095,,0,,58.40000153,66,1.899999976,-0.024945701
693525772,"4 Jul 2016, 10:05:38",Lunch Run,Run,,1707,1707,5.34,5342.100098,,FALSE,Adidas Revenge Boost 2M,4.099999905,,15.60000038,,50.40000153,68,4.099999905,-0.147882
